Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Volatility_30d,Abs_Return
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,,
2020-01-31,9350.529296875,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,-0.016664631518128026,0.028622689955928073,0.016664631518128026
2020-02-01,9392.875,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,0.00452869583961979,0.027682210513461494,0.00452869583961979
2020-02-02,9344.365234375,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946,-0.0051645279666768795,0.026690817580940045,0.0051645279666768795
2020-02-03,9293.521484375,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509,-0.005441113304621492,0.02680953858123863,0.005441113304621492
2020-02-04,9180.962890625,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716,-0.012111511652417528,0.02702401959832238,0.012111511652417528
2020-02-05,9613.423828125,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874,0.047104093835473426,0.026963039982736414,0.047104093835473426
2020-02-06,9729.8017578125,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716,0.012105773319493585,0.02571692526108025,0.012105773319493585
2020-02-07,9795.943359375,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159,0.006797836503646293,0.02552861098214614,0.006797836503646293
2020-02-08,9865.119140625,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762,0.007061676319697785,0.024821600918861438,0.007061676319697785
2020-02-09,10116.673828125,10116.673828125,10129.435546875,9850.392578125,9863.89453125,35807884663,0.02549940694219166,0.02446236517469872,0.02549940694219166
2020-02-10,9856.611328125,9856.611328125,10165.765625,9784.5634765625,10115.5595703125,39386548075,-0.025706324471686526,0.024850808417407923,0.025706324471686526
2020-02-11,10208.236328125,10208.236328125,10210.052734375,9729.3349609375,9855.8916015625,37648059389,0.03567402510806805,0.025303671734279283,0.03567402510806805
2020-02-12,10326.0546875,10326.0546875,10393.611328125,10202.3876953125,10202.3876953125,43444303830,0.011541499979814906,0.025181485715309305,0.011541499979814906
2020-02-13,10214.3798828125,10214.3798828125,10457.626953125,10116.1611328125,10323.9609375,49356071373,-0.010814856987217514,0.020946603199780523,0.010814856987217514
